baseSku,productName,productDescription,categorySlug,variantSku,attributeSummary,price,stockQuantity,imageUrl
BASE-0001,All-Weather Windbreaker,"Water-resistant, lightweight zip-up jacket",clothing,BASE-0001-V1,Large,461.1,11,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0001,All-Weather Windbreaker,"Water-resistant, lightweight zip-up jacket",clothing,BASE-0001-V2,Medium,855.98,10,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0001,All-Weather Windbreaker,"Water-resistant, lightweight zip-up jacket",clothing,BASE-0001-V3,Small,447.71,69,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0002,SonicBlast Bluetooth Speaker,"Waterproof, 24-hour battery life speaker",electronics,BASE-0002-V1,Large,858.74,98,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0003,Rugged Cargo Work Pants,Durable utility pants with reinforced pockets,clothing,BASE-0003-V1,Small,339.33,34,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0003,Rugged Cargo Work Pants,Durable utility pants with reinforced pockets,clothing,BASE-0003-V2,Medium,563.86,0,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0004,Ergonomic Garden Trowel,Hand-forged steel garden spade with wooden handle,home-garden,BASE-0004-V1,1kg,30.57,48,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0004,Ergonomic Garden Trowel,Hand-forged steel garden spade with wooden handle,home-garden,BASE-0004-V2,5kg,693.78,91,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0004,Ergonomic Garden Trowel,Hand-forged steel garden spade with wooden handle,home-garden,BASE-0004-V3,Small,336.71,63,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0005,Pro-Connect Wireless Keyboard,Backlit mechanical keyboard with tactile switches,electronics,BASE-0005-V1,5kg,462.97,39,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0006,PureFresh Laundry Powder,"Bio-active, whitening laundry powder, 2kg",cleaning,BASE-0006-V1,Small,666.53,65,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0006,PureFresh Laundry Powder,"Bio-active, whitening laundry powder, 2kg",cleaning,BASE-0006-V2,Medium,147.63,69,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0006,PureFresh Laundry Powder,"Bio-active, whitening laundry powder, 2kg",cleaning,BASE-0006-V3,Large,619.35,97,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0007,Urban Oasis Indoor Plant,Easy-care Pothos in a stylish ceramic pot,home-garden,BASE-0007-V1,Bulk,417.47,47,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0007,Urban Oasis Indoor Plant,Easy-care Pothos in a stylish ceramic pot,home-garden,BASE-0007-V2,Bulk,761.14,63,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0007,Urban Oasis Indoor Plant,Easy-care Pothos in a stylish ceramic pot,home-garden,BASE-0007-V3,Large,750.78,50,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0008,Luxury Velvet Throw Pillow,"Plush, high-quality fabric for ultimate comfort",home-garden,BASE-0008-V1,Large,844.06,69,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0008,Luxury Velvet Throw Pillow,"Plush, high-quality fabric for ultimate comfort",home-garden,BASE-0008-V2,Medium,100.93,70,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0008,Luxury Velvet Throw Pillow,"Plush, high-quality fabric for ultimate comfort",home-garden,BASE-0008-V3,5kg,105.05,81,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0009,SparkleClean Dish Soap,"Lemon-scented, grease-cutting dish detergent, 750ml",cleaning,BASE-0009-V1,5kg,774.5,34,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0010,Golden Grain Bread,"Soft white bread baked daily, 700g",groceries,BASE-0010-V1,Small,432.96,98,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0010,Golden Grain Bread,"Soft white bread baked daily, 700g",groceries,BASE-0010-V2,Bulk,847.08,54,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0011,Premium Braai Charcoal,"Long-burning, smokeless lump charcoal, 5kg",summer-braai,BASE-0011-V1,Bulk,452.99,86,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0011,Premium Braai Charcoal,"Long-burning, smokeless lump charcoal, 5kg",summer-braai,BASE-0011-V2,Medium,95.41,32,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0012,Executive Fit Chinos,Classic cut cotton chinos for office or casual,clothing,BASE-0012-V1,Medium,611.01,68,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0012,Executive Fit Chinos,Classic cut cotton chinos for office or casual,clothing,BASE-0012-V2,1kg,802.93,58,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0012,Executive Fit Chinos,Classic cut cotton chinos for office or casual,clothing,BASE-0012-V3,Bulk,895.52,46,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0013,SonicBlast Bluetooth Speaker,"Waterproof, 24-hour battery life speaker",electronics,BASE-0013-V1,Bulk,442.06,61,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0013,SonicBlast Bluetooth Speaker,"Waterproof, 24-hour battery life speaker",electronics,BASE-0013-V2,Large,327.17,2,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0014,TurboCharge Power Bank,"High-capacity 20,000mAh portable charger",electronics,BASE-0014-V1,Small,30.78,27,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0014,TurboCharge Power Bank,"High-capacity 20,000mAh portable charger",electronics,BASE-0014-V2,Large,418.61,55,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0014,TurboCharge Power Bank,"High-capacity 20,000mAh portable charger",electronics,BASE-0014-V3,Medium,310.75,28,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0015,Spicy Peri-Peri Marinade,"Traditional South African braai sauce, 500ml",summer-braai,BASE-0015-V1,5kg,739.12,16,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0016,Spicy Peri-Peri Marinade,"Traditional South African braai sauce, 500ml",summer-braai,BASE-0016-V1,Small,229.72,63,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0016,Spicy Peri-Peri Marinade,"Traditional South African braai sauce, 500ml",summer-braai,BASE-0016-V2,5kg,329.92,7,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0016,Spicy Peri-Peri Marinade,"Traditional South African braai sauce, 500ml",summer-braai,BASE-0016-V3,Large,19.63,98,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0017,EliteNoise Cancellation Headphones,"Over-ear, wireless, studio-grade sound",electronics,BASE-0017-V1,Large,112.88,54,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0017,EliteNoise Cancellation Headphones,"Over-ear, wireless, studio-grade sound",electronics,BASE-0017-V2,Small,706.06,35,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0018,Gourmet Braai Spice Blend,Hand-mixed herbs and spices for the perfect roast,summer-braai,BASE-0018-V1,Medium,669.15,34,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0018,Gourmet Braai Spice Blend,Hand-mixed herbs and spices for the perfect roast,summer-braai,BASE-0018-V2,5kg,933.83,73,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0019,Pro-Connect Wireless Keyboard,Backlit mechanical keyboard with tactile switches,electronics,BASE-0019-V1,Bulk,293.7,80,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0019,Pro-Connect Wireless Keyboard,Backlit mechanical keyboard with tactile switches,electronics,BASE-0019-V2,Bulk,525.68,43,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0019,Pro-Connect Wireless Keyboard,Backlit mechanical keyboard with tactile switches,electronics,BASE-0019-V3,Bulk,157.8,34,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0020,Premium Braai Charcoal,"Long-burning, smokeless lump charcoal, 5kg",summer-braai,BASE-0020-V1,1kg,266.5,82,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0020,Premium Braai Charcoal,"Long-burning, smokeless lump charcoal, 5kg",summer-braai,BASE-0020-V2,5kg,938.04,20,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0020,Premium Braai Charcoal,"Long-burning, smokeless lump charcoal, 5kg",summer-braai,BASE-0020-V3,5kg,552.83,88,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0021,ActiveMesh Running Shoes,"Lightweight, breathable sports sneakers",clothing,BASE-0021-V1,Small,895.21,40,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0021,ActiveMesh Running Shoes,"Lightweight, breathable sports sneakers",clothing,BASE-0021-V2,Medium,151.52,89,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0022,UltraView 4K Smart TV,50-inch 4K LED display with built-in streaming,electronics,BASE-0022-V1,1kg,140.7,94,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0022,UltraView 4K Smart TV,50-inch 4K LED display with built-in streaming,electronics,BASE-0022-V2,Large,99.01,100,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0022,UltraView 4K Smart TV,50-inch 4K LED display with built-in streaming,electronics,BASE-0022-V3,Medium,532.0,64,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0023,Ultra-Soft Floor Polish,"Long-lasting shine for hardwood floors, 1L",cleaning,BASE-0023-V1,Medium,692.16,52,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0023,Ultra-Soft Floor Polish,"Long-lasting shine for hardwood floors, 1L",cleaning,BASE-0023-V2,Bulk,474.62,44,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0023,Ultra-Soft Floor Polish,"Long-lasting shine for hardwood floors, 1L",cleaning,BASE-0023-V3,Large,664.21,100,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0024,UltraView 4K Smart TV,50-inch 4K LED display with built-in streaming,electronics,BASE-0024-V1,Large,330.28,95,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0025,Monate Fresh Milk,"Full cream farm-fresh milk, 2L",groceries,BASE-0025-V1,Small,252.98,90,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0026,Premium Basmati Rice,"Aromatic long-grain basmati rice, 2kg",groceries,BASE-0026-V1,Medium,904.59,50,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0027,Sun-Kissed Oranges,"Bag of juicy, vitamin-C rich oranges, 1kg",groceries,BASE-0027-V1,Small,468.79,77,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0028,Spicy Peri-Peri Marinade,"Traditional South African braai sauce, 500ml",summer-braai,BASE-0028-V1,Bulk,669.77,29,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0028,Spicy Peri-Peri Marinade,"Traditional South African braai sauce, 500ml",summer-braai,BASE-0028-V2,Small,196.9,76,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0029,Crystal Glass Cleaner,"Streak-free formula for windows and mirrors, 500ml",cleaning,BASE-0029-V1,Large,180.85,99,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0029,Crystal Glass Cleaner,"Streak-free formula for windows and mirrors, 500ml",cleaning,BASE-0029-V2,Large,626.72,23,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
BASE-0029,Crystal Glass Cleaner,"Streak-free formula for windows and mirrors, 500ml",cleaning,BASE-0029-V3,1kg,255.97,15,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=300&q=80
