baseSku,productName,productDescription,categorySlug,variantSku,attributeSummary,price,stockQuantity
PRD1000,Daily HDMI Cable,Advanced daily hdmi cable. Highly rated and perfect for everyday use.,electronics-accessories,PRD1000-V1,Blue,291.38,32
PRD1001,Ultra Eco-Friendly Moisturizer,Standard ultra eco-friendly moisturizer. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1001-V1,250ml,113.86,2
PRD1001,Ultra Eco-Friendly Moisturizer,Basic ultra eco-friendly moisturizer. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1001-V2,500ml,112.69,449
PRD1001,Ultra Eco-Friendly Moisturizer,Pro ultra eco-friendly moisturizer. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1001-V3,1L,184.96,340
PRD1002,Max Plant Pot,Premium max plant pot. Highly rated and perfect for everyday use.,home-and-garden-lighting,PRD1002-V1,Standard,77.19,441
PRD1003,Max All-Purpose Cleaner,Advanced max all-purpose cleaner. Highly rated and perfect for everyday use.,home-and-garden-bedding,PRD1003-V1,Standard,266.44,180
PRD1003,Max All-Purpose Cleaner,Deluxe max all-purpose cleaner. Highly rated and perfect for everyday use.,home-and-garden-bedding,PRD1003-V2,Large,227.93,438
PRD1004,Ultra Cotton Jeans,Pro ultra cotton jeans. Highly rated and perfect for everyday use.,clothing-activewear,PRD1004-V1,XL,293.14,18
PRD1005,Prime Power Bank,Advanced prime power bank. Highly rated and perfect for everyday use.,electronics-accessories,PRD1005-V1,Silver,445.74,320
PRD1005,Prime Power Bank,Pro prime power bank. Highly rated and perfect for everyday use.,electronics-accessories,PRD1005-V2,Blue,369.48,255
PRD1005,Prime Power Bank,Deluxe prime power bank. Highly rated and perfect for everyday use.,electronics-accessories,PRD1005-V3,White,428.51,354
PRD1006,Max Bed Sheets,Basic max bed sheets. Highly rated and perfect for everyday use.,home-and-garden-lighting,PRD1006-V1,Standard,190.78,84
PRD1007,Choice Sugar,Basic choice sugar. Highly rated and perfect for everyday use.,groceries-baking,PRD1007-V1,10kg,75.36,259
PRD1007,Choice Sugar,Basic choice sugar. Highly rated and perfect for everyday use.,groceries-baking,PRD1007-V2,2kg,60.48,247
PRD1007,Choice Sugar,Basic choice sugar. Highly rated and perfect for everyday use.,groceries-baking,PRD1007-V3,1kg,66.43,23
