baseSku,productName,productDescription,categorySlug,variantSku,attributeSummary,price,stockQuantity,imageUrl
PRD1000,Floral Summer Dress,High quality item PRD1000 for everyday use.,clothing-womens,PRD1000-V1,Small / Red,792.01,437,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?q=80&w=200
PRD1000,Floral Summer Dress,High quality item PRD1000 for everyday use.,clothing-womens,PRD1000-V2,Medium / Blue,875.81,274,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?q=80&w=200
PRD1000,Floral Summer Dress,High quality item PRD1000 for everyday use.,clothing-womens,PRD1000-V3,Large / Green,149.83,220,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?q=80&w=200
PRD1000,Floral Summer Dress,High quality item PRD1000 for everyday use.,clothing-womens,PRD1000-V4,Extra Large / Black,149.02,348,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?q=80&w=200
PRD1001,Braided USB-C Cable,High quality item PRD1001 for everyday use.,electronics-accessories,PRD1001-V1,Black / 1m,154.68,88,https://images.unsplash.com/photo-1527443224154-c4a3942d3a56?q=80&w=200
PRD1001,Braided USB-C Cable,High quality item PRD1001 for everyday use.,electronics-accessories,PRD1001-V2,Silver / 2m,261.89,360,https://images.unsplash.com/photo-1527443224154-c4a3942d3a56?q=80&w=200
PRD1001,Braided USB-C Cable,High quality item PRD1001 for everyday use.,electronics-accessories,PRD1001-V3,Grey / 3m,913.11,171,https://images.unsplash.com/photo-1527443224154-c4a3942d3a56?q=80&w=200
PRD1001,Braided USB-C Cable,High quality item PRD1001 for everyday use.,electronics-accessories,PRD1001-V4,White / 5m,432.91,398,https://images.unsplash.com/photo-1527443224154-c4a3942d3a56?q=80&w=200
PRD1002,Sparkling Mineral Water,High quality item PRD1002 for everyday use.,groceries-beverages,PRD1002-V1,500ml,471.21,378,https://images.unsplash.com/photo-1513558161293-cdaf765dc2bf?q=80&w=200
PRD1002,Sparkling Mineral Water,High quality item PRD1002 for everyday use.,groceries-beverages,PRD1002-V2,1L,119.83,53,https://images.unsplash.com/photo-1513558161293-cdaf765dc2bf?q=80&w=200
PRD1002,Sparkling Mineral Water,High quality item PRD1002 for everyday use.,groceries-beverages,PRD1002-V3,1.5L,597.46,34,https://images.unsplash.com/photo-1513558161293-cdaf765dc2bf?q=80&w=200
PRD1002,Sparkling Mineral Water,High quality item PRD1002 for everyday use.,groceries-beverages,PRD1002-V4,2L,555.7,149,https://images.unsplash.com/photo-1513558161293-cdaf765dc2bf?q=80&w=200
PRD1003,Sea Salt Crackers,High quality item PRD1003 for everyday use.,groceries-snacks,PRD1003-V1,100g,90.75,303,https://images.unsplash.com/photo-1599487488170-d11ec9c17537?q=80&w=200
PRD1003,Sea Salt Crackers,High quality item PRD1003 for everyday use.,groceries-snacks,PRD1003-V2,200g,183.28,91,https://images.unsplash.com/photo-1599487488170-d11ec9c17537?q=80&w=200
PRD1003,Sea Salt Crackers,High quality item PRD1003 for everyday use.,groceries-snacks,PRD1003-V3,500g,414.31,226,https://images.unsplash.com/photo-1599487488170-d11ec9c17537?q=80&w=200
PRD1003,Sea Salt Crackers,High quality item PRD1003 for everyday use.,groceries-snacks,PRD1003-V4,1kg,400.31,34,https://images.unsplash.com/photo-1599487488170-d11ec9c17537?q=80&w=200
PRD1004,Minimalist Table Lamp,High quality item PRD1004 for everyday use.,home-garden-decor,PRD1004-V1,Matte Black,606.96,327,https://images.unsplash.com/photo-1513519245088-0e12902e35a9?q=80&w=200
PRD1004,Minimalist Table Lamp,High quality item PRD1004 for everyday use.,home-garden-decor,PRD1004-V2,White,869.57,62,https://images.unsplash.com/photo-1513519245088-0e12902e35a9?q=80&w=200
PRD1004,Minimalist Table Lamp,High quality item PRD1004 for everyday use.,home-garden-decor,PRD1004-V3,Gold,344.09,44,https://images.unsplash.com/photo-1513519245088-0e12902e35a9?q=80&w=200
PRD1004,Minimalist Table Lamp,High quality item PRD1004 for everyday use.,home-garden-decor,PRD1004-V4,Silver,970.23,417,https://images.unsplash.com/photo-1513519245088-0e12902e35a9?q=80&w=200
PRD1005,Braided USB-C Cable,High quality item PRD1005 for everyday use.,electronics-accessories,PRD1005-V1,Black / 1m,856.07,395,https://images.unsplash.com/photo-1527443224154-c4a3942d3a56?q=80&w=200
PRD1005,Braided USB-C Cable,High quality item PRD1005 for everyday use.,electronics-accessories,PRD1005-V2,Silver / 2m,196.44,463,https://images.unsplash.com/photo-1527443224154-c4a3942d3a56?q=80&w=200
PRD1005,Braided USB-C Cable,High quality item PRD1005 for everyday use.,electronics-accessories,PRD1005-V3,Grey / 3m,521.59,130,https://images.unsplash.com/photo-1527443224154-c4a3942d3a56?q=80&w=200
PRD1005,Braided USB-C Cable,High quality item PRD1005 for everyday use.,electronics-accessories,PRD1005-V4,White / 5m,600.55,341,https://images.unsplash.com/photo-1527443224154-c4a3942d3a56?q=80&w=200
PRD1006,V-Neck Sweater,High quality item PRD1006 for everyday use.,clothing-mens,PRD1006-V1,32W / Navy,788.66,132,https://images.unsplash.com/photo-1507679799987-c73779587ccf?q=80&w=200
PRD1006,V-Neck Sweater,High quality item PRD1006 for everyday use.,clothing-mens,PRD1006-V2,34W / Grey,482.98,418,https://images.unsplash.com/photo-1507679799987-c73779587ccf?q=80&w=200
PRD1006,V-Neck Sweater,High quality item PRD1006 for everyday use.,clothing-mens,PRD1006-V3,36W / Olive,255.48,116,https://images.unsplash.com/photo-1507679799987-c73779587ccf?q=80&w=200
PRD1006,V-Neck Sweater,High quality item PRD1006 for everyday use.,clothing-mens,PRD1006-V4,38W / Black,28.04,331,https://images.unsplash.com/photo-1507679799987-c73779587ccf?q=80&w=200
PRD1007,Heavy Duty Spray Bottle,High quality item PRD1007 for everyday use.,home-garden-cleaning,PRD1007-V1,3-Pack,634.54,174,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=200
PRD1007,Heavy Duty Spray Bottle,High quality item PRD1007 for everyday use.,home-garden-cleaning,PRD1007-V2,5-Pack,581.47,196,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=200
PRD1007,Heavy Duty Spray Bottle,High quality item PRD1007 for everyday use.,home-garden-cleaning,PRD1007-V3,1-Unit,341.79,51,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=200
PRD1007,Heavy Duty Spray Bottle,High quality item PRD1007 for everyday use.,home-garden-cleaning,PRD1007-V4,Bulk Set,935.11,267,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=200
PRD1008,Noise Cancelling Headphones,High quality item PRD1008 for everyday use.,electronics-audio,PRD1008-V1,Midnight Blue,684.88,140,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?q=80&w=200
PRD1008,Noise Cancelling Headphones,High quality item PRD1008 for everyday use.,electronics-audio,PRD1008-V2,Silver,306.84,126,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?q=80&w=200
