baseSku,name,description,price,category,imageUrl
HOM-0001,Home & Kitchen Item 1,High quality Home & Kitchen Item 1 for your daily needs.,10.99,Home & Kitchen,https://images.unsplash.com/photo-1556912173-3c0e68ae06a6?q=80&w=200
CLO-0002,Clothing Item 2,High quality Clothing Item 2 for your daily needs.,11.99,Clothing,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=200
GRO-0003,Groceries Item 3,High quality Groceries Item 3 for your daily needs.,12.99,Groceries,https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200
BEA-0004,Beauty Item 4,High quality Beauty Item 4 for your daily needs.,13.99,Beauty,https://images.unsplash.com/photo-1596462502278-27bfdc403348?q=80&w=200
ELE-0005,Electronics Item 5,High quality Electronics Item 5 for your daily needs.,14.99,Electronics,https://images.unsplash.com/photo-1550009158-9ebf69173e03?q=80&w=200
HOM-0006,Home & Kitchen Item 6,High quality Home & Kitchen Item 6 for your daily needs.,15.99,Home & Kitchen,https://images.unsplash.com/photo-1556912173-3c0e68ae06a6?q=80&w=200
CLO-0007,Clothing Item 7,High quality Clothing Item 7 for your daily needs.,16.99,Clothing,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=200
GRO-0008,Groceries Item 8,High quality Groceries Item 8 for your daily needs.,17.99,Groceries,https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200
BEA-0009,Beauty Item 9,High quality Beauty Item 9 for your daily needs.,18.99,Beauty,https://images.unsplash.com/photo-1596462502278-27bfdc403348?q=80&w=200
ELE-0010,Electronics Item 10,High quality Electronics Item 10 for your daily needs.,19.99,Electronics,https://images.unsplash.com/photo-1550009158-9ebf69173e03?q=80&w=200
HOM-0011,Home & Kitchen Item 11,High quality Home & Kitchen Item 11 for your daily needs.,20.99,Home & Kitchen,https://images.unsplash.com/photo-1556912173-3c0e68ae06a6?q=80&w=200
CLO-0012,Clothing Item 12,High quality Clothing Item 12 for your daily needs.,21.99,Clothing,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=200
GRO-0013,Groceries Item 13,High quality Groceries Item 13 for your daily needs.,22.99,Groceries,https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200
BEA-0014,Beauty Item 14,High quality Beauty Item 14 for your daily needs.,23.99,Beauty,https://images.unsplash.com/photo-1596462502278-27bfdc403348?q=80&w=200
ELE-0015,Electronics Item 15,High quality Electronics Item 15 for your daily needs.,24.99,Electronics,https://images.unsplash.com/photo-1550009158-9ebf69173e03?q=80&w=200
HOM-0016,Home & Kitchen Item 16,High quality Home & Kitchen Item 16 for your daily needs.,25.99,Home & Kitchen,https://images.unsplash.com/photo-1556912173-3c0e68ae06a6?q=80&w=200
CLO-0017,Clothing Item 17,High quality Clothing Item 17 for your daily needs.,26.99,Clothing,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=200
GRO-0018,Groceries Item 18,High quality Groceries Item 18 for your daily needs.,27.99,Groceries,https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200
BEA-0019,Beauty Item 19,High quality Beauty Item 19 for your daily needs.,28.99,Beauty,https://images.unsplash.com/photo-1596462502278-27bfdc403348?q=80&w=200
ELE-0020,Electronics Item 20,High quality Electronics Item 20 for your daily needs.,29.99,Electronics,https://images.unsplash.com/photo-1550009158-9ebf69173e03?q=80&w=200
HOM-0021,Home & Kitchen Item 21,High quality Home & Kitchen Item 21 for your daily needs.,30.99,Home & Kitchen,https://images.unsplash.com/photo-1556912173-3c0e68ae06a6?q=80&w=200
CLO-0022,Clothing Item 22,High quality Clothing Item 22 for your daily needs.,31.99,Clothing,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=200
GRO-0023,Groceries Item 23,High quality Groceries Item 23 for your daily needs.,32.99,Groceries,https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200
BEA-0024,Beauty Item 24,High quality Beauty Item 24 for your daily needs.,33.99,Beauty,https://images.unsplash.com/photo-1596462502278-27bfdc403348?q=80&w=200
ELE-0025,Electronics Item 25,High quality Electronics Item 25 for your daily needs.,34.99,Electronics,https://images.unsplash.com/photo-1550009158-9ebf69173e03?q=80&w=200
HOM-0026,Home & Kitchen Item 26,High quality Home & Kitchen Item 26 for your daily needs.,35.99,Home & Kitchen,https://images.unsplash.com/photo-1556912173-3c0e68ae06a6?q=80&w=200
CLO-0027,Clothing Item 27,High quality Clothing Item 27 for your daily needs.,36.99,Clothing,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?q=80&w=200
