baseSku,productName,productDescription,categorySlug,variantSku,attributeSummary,price,stockQuantity,imageUrl
PRD1000,Hoodie,High quality item PRD1000 for everyday use.,clothing-mens,PRD1000-V1,Color Black,856.32,380,https://images.unsplash.com/photo-y3vr2qhom5?q=80&w=200
PRD1000,Hoodie,High quality item PRD1000 for everyday use.,clothing-mens,PRD1000-V2,Color Green,389.78,117,https://images.unsplash.com/photo-hbkb6qulge?q=80&w=200
PRD1000,Hoodie,High quality item PRD1000 for everyday use.,clothing-mens,PRD1000-V3,Color Blue,542.29,150,https://images.unsplash.com/photo-pnm3vw0nhc?q=80&w=200
PRD1001,Basmati Rice,High quality item PRD1001 for everyday use.,groceries-pantry,PRD1001-V1,Size XL,722.7,446,https://images.unsplash.com/photo-eGObxKp9Lm?q=80&w=200
PRD1001,Basmati Rice,High quality item PRD1001 for everyday use.,groceries-pantry,PRD1001-V2,Size M,893.78,469,https://images.unsplash.com/photo-eGObxKp9Lm?q=80&w=200
PRD1001,Basmati Rice,High quality item PRD1001 for everyday use.,groceries-pantry,PRD1001-V3,Size M,85.82,413,https://images.unsplash.com/photo-eGObxKp9Lm?q=80&w=200
PRD1002,Mouse Pad,High quality item PRD1002 for everyday use.,electronics-accessories,PRD1002-V1,Color Black,441.16,298,https://images.unsplash.com/photo-azxz2ew2om?q=80&w=200
PRD1002,Mouse Pad,High quality item PRD1002 for everyday use.,electronics-accessories,PRD1002-V2,Color Green,815.71,486,https://images.unsplash.com/photo-t150uz6eyq?q=80&w=200
PRD1003,Noise Cancelling Headphones,High quality item PRD1003 for everyday use.,electronics-audio,PRD1003-V1,Color Green,187.5,468,https://images.unsplash.com/photo-o3zkvs90fl?q=80&w=200
PRD1003,Noise Cancelling Headphones,High quality item PRD1003 for everyday use.,electronics-audio,PRD1003-V2,Color White,307.53,450,https://images.unsplash.com/photo-byhgpvwy1t?q=80&w=200
PRD1003,Noise Cancelling Headphones,High quality item PRD1003 for everyday use.,electronics-audio,PRD1003-V3,Color Blue,95.88,307,https://images.unsplash.com/photo-4xcb0frwr4?q=80&w=200
PRD1003,Noise Cancelling Headphones,High quality item PRD1003 for everyday use.,electronics-audio,PRD1003-V4,Color Black,245.9,235,https://images.unsplash.com/photo-98ulbqvih8?q=80&w=200
PRD1003,Noise Cancelling Headphones,High quality item PRD1003 for everyday use.,electronics-audio,PRD1003-V5,Color White,991.61,409,https://images.unsplash.com/photo-8m4xmg10jk?q=80&w=200
PRD1004,Laptop Sleeve,High quality item PRD1004 for everyday use.,electronics-accessories,PRD1004-V1,Size XL,920.9,229,https://images.unsplash.com/photo-3e5zi18mc5?q=80&w=200
PRD1004,Laptop Sleeve,High quality item PRD1004 for everyday use.,electronics-accessories,PRD1004-V2,Size M,29.68,209,https://images.unsplash.com/photo-3e5zi18mc5?q=80&w=200
PRD1004,Laptop Sleeve,High quality item PRD1004 for everyday use.,electronics-accessories,PRD1004-V3,Size XL,151.07,442,https://images.unsplash.com/photo-3e5zi18mc5?q=80&w=200
PRD1004,Laptop Sleeve,High quality item PRD1004 for everyday use.,electronics-accessories,PRD1004-V4,Size XL,543.14,376,https://images.unsplash.com/photo-3e5zi18mc5?q=80&w=200
PRD1004,Laptop Sleeve,High quality item PRD1004 for everyday use.,electronics-accessories,PRD1004-V5,Size L,404.07,412,https://images.unsplash.com/photo-3e5zi18mc5?q=80&w=200
PRD1004,Laptop Sleeve,High quality item PRD1004 for everyday use.,electronics-accessories,PRD1004-V6,Size S,377.92,34,https://images.unsplash.com/photo-3e5zi18mc5?q=80&w=200
PRD1005,Generic Item,High quality item PRD1005 for everyday use.,clothing,PRD1005-V1,Size S,606.0,341,https://images.unsplash.com/photo-IgWXJ5NXvs?q=80&w=200
PRD1005,Generic Item,High quality item PRD1005 for everyday use.,clothing,PRD1005-V2,Size M,658.87,463,https://images.unsplash.com/photo-IgWXJ5NXvs?q=80&w=200
PRD1005,Generic Item,High quality item PRD1005 for everyday use.,clothing,PRD1005-V3,Size XL,984.45,165,https://images.unsplash.com/photo-IgWXJ5NXvs?q=80&w=200
PRD1005,Generic Item,High quality item PRD1005 for everyday use.,clothing,PRD1005-V4,Size XL,404.29,280,https://images.unsplash.com/photo-IgWXJ5NXvs?q=80&w=200
PRD1006,Basmati Rice,High quality item PRD1006 for everyday use.,groceries-pantry,PRD1006-V1,Color Black,781.13,20,https://images.unsplash.com/photo-m9yc58feqo?q=80&w=200
PRD1006,Basmati Rice,High quality item PRD1006 for everyday use.,groceries-pantry,PRD1006-V2,Color Green,484.95,228,https://images.unsplash.com/photo-rmufz6gmw5?q=80&w=200
PRD1006,Basmati Rice,High quality item PRD1006 for everyday use.,groceries-pantry,PRD1006-V3,Color White,356.0,306,https://images.unsplash.com/photo-thv1jkqzk3?q=80&w=200
PRD1007,Microfiber Cloths,High quality item PRD1007 for everyday use.,home-garden-cleaning,PRD1007-V1,Size S,733.85,308,https://images.unsplash.com/photo-V6UtIXXSF3?q=80&w=200
PRD1007,Microfiber Cloths,High quality item PRD1007 for everyday use.,home-garden-cleaning,PRD1007-V2,Size S,254.83,113,https://images.unsplash.com/photo-V6UtIXXSF3?q=80&w=200
PRD1008,Basmati Rice,High quality item PRD1008 for everyday use.,groceries-pantry,PRD1008-V1,Color Red,663.52,42,https://images.unsplash.com/photo-imqy2loi9g?q=80&w=200
PRD1008,Basmati Rice,High quality item PRD1008 for everyday use.,groceries-pantry,PRD1008-V2,Color Blue,648.27,358,https://images.unsplash.com/photo-gfb9ox2wdp?q=80&w=200
PRD1008,Basmati Rice,High quality item PRD1008 for everyday use.,groceries-pantry,PRD1008-V3,Color Red,198.81,271,https://images.unsplash.com/photo-vz4l1pnm79?q=80&w=200
PRD1008,Basmati Rice,High quality item PRD1008 for everyday use.,groceries-pantry,PRD1008-V4,Color Red,532.98,255,https://images.unsplash.com/photo-orncumgmze?q=80&w=200
PRD1008,Basmati Rice,High quality item PRD1008 for everyday use.,groceries-pantry,PRD1008-V5,Color Black,617.63,153,https://images.unsplash.com/photo-zimfelwl9i?q=80&w=200
PRD1008,Basmati Rice,High quality item PRD1008 for everyday use.,groceries-pantry,PRD1008-V6,Color Red,800.19,169,https://images.unsplash.com/photo-epy1vpdfrp?q=80&w=200
PRD1009,Winter Scarf,High quality item PRD1009 for everyday use.,clothing-womens,PRD1009-V1,Size L,573.85,189,https://images.unsplash.com/photo-9328DysN5g?q=80&w=200
PRD1009,Winter Scarf,High quality item PRD1009 for everyday use.,clothing-womens,PRD1009-V2,Size XL,64.6,125,https://images.unsplash.com/photo-9328DysN5g?q=80&w=200
PRD1010,Generic Item,High quality item PRD1010 for everyday use.,clothing,PRD1010-V1,Color Blue,687.43,77,https://images.unsplash.com/photo-v3kpncv9c3?q=80&w=200
PRD1010,Generic Item,High quality item PRD1010 for everyday use.,clothing,PRD1010-V2,Color Red,239.6,1,https://images.unsplash.com/photo-lht4185myz?q=80&w=200
PRD1010,Generic Item,High quality item PRD1010 for everyday use.,clothing,PRD1010-V3,Color Blue,889.52,191,https://images.unsplash.com/photo-njnndkivh4?q=80&w=200
PRD1010,Generic Item,High quality item PRD1010 for everyday use.,clothing,PRD1010-V4,Color Green,337.68,146,https://images.unsplash.com/photo-t98yv1yyj1?q=80&w=200
PRD1011,Mouse Pad,High quality item PRD1011 for everyday use.,electronics-accessories,PRD1011-V1,Size M,397.9,109,https://images.unsplash.com/photo-7f0G3DMyuf?q=80&w=200
PRD1011,Mouse Pad,High quality item PRD1011 for everyday use.,electronics-accessories,PRD1011-V2,Size XL,401.01,303,https://images.unsplash.com/photo-7f0G3DMyuf?q=80&w=200
PRD1012,Generic Item,High quality item PRD1012 for everyday use.,electronics,PRD1012-V1,Size S,924.79,250,https://images.unsplash.com/photo-70q7E68GRk?q=80&w=200
PRD1012,Generic Item,High quality item PRD1012 for everyday use.,electronics,PRD1012-V2,Size L,460.63,432,https://images.unsplash.com/photo-70q7E68GRk?q=80&w=200
PRD1012,Generic Item,High quality item PRD1012 for everyday use.,electronics,PRD1012-V3,Size XL,73.7,177,https://images.unsplash.com/photo-70q7E68GRk?q=80&w=200
PRD1012,Generic Item,High quality item PRD1012 for everyday use.,electronics,PRD1012-V4,Size XL,656.47,31,https://images.unsplash.com/photo-70q7E68GRk?q=80&w=200
PRD1013,Decorative Throw Pillow,High quality item PRD1013 for everyday use.,home-garden-decor,PRD1013-V1,Color Red,417.71,187,https://images.unsplash.com/photo-onkwyu8fzo?q=80&w=200
PRD1013,Decorative Throw Pillow,High quality item PRD1013 for everyday use.,home-garden-decor,PRD1013-V2,Color White,255.35,356,https://images.unsplash.com/photo-qn2ccmpmxy?q=80&w=200
PRD1014,Generic Item,High quality item PRD1014 for everyday use.,home-garden,PRD1014-V1,Size L,379.9,301,https://images.unsplash.com/photo-gMkW07wuSJ?q=80&w=200
PRD1014,Generic Item,High quality item PRD1014 for everyday use.,home-garden,PRD1014-V2,Size S,521.41,169,https://images.unsplash.com/photo-gMkW07wuSJ?q=80&w=200
PRD1014,Generic Item,High quality item PRD1014 for everyday use.,home-garden,PRD1014-V3,Size L,76.82,480,https://images.unsplash.com/photo-gMkW07wuSJ?q=80&w=200
PRD1015,Glass Cleaner,High quality item PRD1015 for everyday use.,home-garden-cleaning,PRD1015-V1,Color Red,697.66,9,https://images.unsplash.com/photo-v5rgo58kik?q=80&w=200
PRD1015,Glass Cleaner,High quality item PRD1015 for everyday use.,home-garden-cleaning,PRD1015-V2,Color Green,934.56,63,https://images.unsplash.com/photo-lfu1qcjh7i?q=80&w=200
PRD1015,Glass Cleaner,High quality item PRD1015 for everyday use.,home-garden-cleaning,PRD1015-V3,Color Green,338.57,25,https://images.unsplash.com/photo-gu0irjuwvd?q=80&w=200
PRD1015,Glass Cleaner,High quality item PRD1015 for everyday use.,home-garden-cleaning,PRD1015-V4,Color Blue,647.09,455,https://images.unsplash.com/photo-yjq6uswd8o?q=80&w=200
PRD1015,Glass Cleaner,High quality item PRD1015 for everyday use.,home-garden-cleaning,PRD1015-V5,Color Green,942.14,83,https://images.unsplash.com/photo-xbwnmctmzf?q=80&w=200
PRD1016,Generic Item,High quality item PRD1016 for everyday use.,groceries,PRD1016-V1,Size S,193.91,324,https://images.unsplash.com/photo-g8uJNVDpyI?q=80&w=200
PRD1016,Generic Item,High quality item PRD1016 for everyday use.,groceries,PRD1016-V2,Size XL,834.21,135,https://images.unsplash.com/photo-g8uJNVDpyI?q=80&w=200
PRD1016,Generic Item,High quality item PRD1016 for everyday use.,groceries,PRD1016-V3,Size M,887.78,185,https://images.unsplash.com/photo-g8uJNVDpyI?q=80&w=200
PRD1016,Generic Item,High quality item PRD1016 for everyday use.,groceries,PRD1016-V4,Size XL,907.66,276,https://images.unsplash.com/photo-g8uJNVDpyI?q=80&w=200
PRD1016,Generic Item,High quality item PRD1016 for everyday use.,groceries,PRD1016-V5,Size M,447.35,307,https://images.unsplash.com/photo-g8uJNVDpyI?q=80&w=200
PRD1017,Herbal Tea,High quality item PRD1017 for everyday use.,groceries-beverages,PRD1017-V1,Size L,24.54,208,https://images.unsplash.com/photo-JVkgfPsiVz?q=80&w=200
PRD1017,Herbal Tea,High quality item PRD1017 for everyday use.,groceries-beverages,PRD1017-V2,Size S,156.61,496,https://images.unsplash.com/photo-JVkgfPsiVz?q=80&w=200
PRD1017,Herbal Tea,High quality item PRD1017 for everyday use.,groceries-beverages,PRD1017-V3,Size M,384.95,416,https://images.unsplash.com/photo-JVkgfPsiVz?q=80&w=200
PRD1017,Herbal Tea,High quality item PRD1017 for everyday use.,groceries-beverages,PRD1017-V4,Size S,969.29,247,https://images.unsplash.com/photo-JVkgfPsiVz?q=80&w=200
PRD1017,Herbal Tea,High quality item PRD1017 for everyday use.,groceries-beverages,PRD1017-V5,Size L,356.42,433,https://images.unsplash.com/photo-JVkgfPsiVz?q=80&w=200
PRD1018,Minimalist Vase,High quality item PRD1018 for everyday use.,home-garden-decor,PRD1018-V1,Size XL,641.65,393,https://images.unsplash.com/photo-YbTrJ2JEHc?q=80&w=200
PRD1018,Minimalist Vase,High quality item PRD1018 for everyday use.,home-garden-decor,PRD1018-V2,Size S,429.65,420,https://images.unsplash.com/photo-YbTrJ2JEHc?q=80&w=200
PRD1019,Phone Stand,High quality item PRD1019 for everyday use.,electronics-accessories,PRD1019-V1,Size S,941.29,498,https://images.unsplash.com/photo-oajbhf1gJ0?q=80&w=200
PRD1019,Phone Stand,High quality item PRD1019 for everyday use.,electronics-accessories,PRD1019-V2,Size M,507.44,37,https://images.unsplash.com/photo-oajbhf1gJ0?q=80&w=200
PRD1020,Denim Jeans,High quality item PRD1020 for everyday use.,clothing-mens,PRD1020-V1,Size S,382.97,281,https://images.unsplash.com/photo-0zcueC0fCY?q=80&w=200
PRD1020,Denim Jeans,High quality item PRD1020 for everyday use.,clothing-mens,PRD1020-V2,Size S,215.69,224,https://images.unsplash.com/photo-0zcueC0fCY?q=80&w=200
PRD1020,Denim Jeans,High quality item PRD1020 for everyday use.,clothing-mens,PRD1020-V3,Size M,543.05,255,https://images.unsplash.com/photo-0zcueC0fCY?q=80&w=200
PRD1021,Sea Salt,High quality item PRD1021 for everyday use.,groceries-pantry,PRD1021-V1,Size XL,234.0,178,https://images.unsplash.com/photo-Shyozf2RGU?q=80&w=200
PRD1021,Sea Salt,High quality item PRD1021 for everyday use.,groceries-pantry,PRD1021-V2,Size S,222.71,288,https://images.unsplash.com/photo-Shyozf2RGU?q=80&w=200
PRD1021,Sea Salt,High quality item PRD1021 for everyday use.,groceries-pantry,PRD1021-V3,Size M,136.63,418,https://images.unsplash.com/photo-Shyozf2RGU?q=80&w=200
PRD1021,Sea Salt,High quality item PRD1021 for everyday use.,groceries-pantry,PRD1021-V4,Size XL,968.65,185,https://images.unsplash.com/photo-Shyozf2RGU?q=80&w=200
PRD1021,Sea Salt,High quality item PRD1021 for everyday use.,groceries-pantry,PRD1021-V5,Size L,93.78,251,https://images.unsplash.com/photo-Shyozf2RGU?q=80&w=200
PRD1021,Sea Salt,High quality item PRD1021 for everyday use.,groceries-pantry,PRD1021-V6,Size XL,346.25,475,https://images.unsplash.com/photo-Shyozf2RGU?q=80&w=200
PRD1022,Generic Item,High quality item PRD1022 for everyday use.,home-garden,PRD1022-V1,Size L,442.04,97,https://images.unsplash.com/photo-dKMVBR329p?q=80&w=200
PRD1022,Generic Item,High quality item PRD1022 for everyday use.,home-garden,PRD1022-V2,Size XL,763.42,175,https://images.unsplash.com/photo-dKMVBR329p?q=80&w=200
PRD1023,Portable Speaker,High quality item PRD1023 for everyday use.,electronics-audio,PRD1023-V1,Color Red,452.62,74,https://images.unsplash.com/photo-6q5i6ts0vu?q=80&w=200
PRD1023,Portable Speaker,High quality item PRD1023 for everyday use.,electronics-audio,PRD1023-V2,Color White,116.66,288,https://images.unsplash.com/photo-v85opkpdko?q=80&w=200
PRD1023,Portable Speaker,High quality item PRD1023 for everyday use.,electronics-audio,PRD1023-V3,Color Black,737.56,380,https://images.unsplash.com/photo-9mh1i3i6wb?q=80&w=200
PRD1023,Portable Speaker,High quality item PRD1023 for everyday use.,electronics-audio,PRD1023-V4,Color White,462.34,435,https://images.unsplash.com/photo-rsj0itbmd8?q=80&w=200
PRD1023,Portable Speaker,High quality item PRD1023 for everyday use.,electronics-audio,PRD1023-V5,Color White,290.98,197,https://images.unsplash.com/photo-ahupoovpni?q=80&w=200
