baseSku,productName,productDescription,categorySlug,variantSku,attributeSummary,price,stockQuantity
PRD1000,Product PRD1000,High quality item PRD1000 for everyday use.,clothing-womens,PRD1000-V1,Option 1,792.01,437
PRD1000,Product PRD1000,High quality item PRD1000 for everyday use.,clothing-womens,PRD1000-V2,Option 2,875.81,274
PRD1000,Product PRD1000,High quality item PRD1000 for everyday use.,clothing-womens,PRD1000-V3,Option 3,149.83,220
PRD1000,Product PRD1000,High quality item PRD1000 for everyday use.,clothing-womens,PRD1000-V4,Option 4,149.02,348
PRD1001,Product PRD1001,High quality item PRD1001 for everyday use.,electronics-accessories,PRD1001-V1,Option 1,154.68,88
PRD1001,Product PRD1001,High quality item PRD1001 for everyday use.,electronics-accessories,PRD1001-V2,Option 2,261.89,360
PRD1001,Product PRD1001,High quality item PRD1001 for everyday use.,electronics-accessories,PRD1001-V3,Option 3,913.11,171
PRD1001,Product PRD1001,High quality item PRD1001 for everyday use.,electronics-accessories,PRD1001-V4,Option 4,432.91,398
PRD1002,Product PRD1002,High quality item PRD1002 for everyday use.,groceries-beverages,PRD1002-V1,Option 1,471.21,378
PRD1002,Product PRD1002,High quality item PRD1002 for everyday use.,groceries-beverages,PRD1002-V2,Option 2,119.83,53
PRD1002,Product PRD1002,High quality item PRD1002 for everyday use.,groceries-beverages,PRD1002-V3,Option 3,597.46,34
PRD1002,Product PRD1002,High quality item PRD1002 for everyday use.,groceries-beverages,PRD1002-V4,Option 4,555.7,149
PRD1003,Product PRD1003,High quality item PRD1003 for everyday use.,groceries-snacks,PRD1003-V1,Option 1,90.75,303
PRD1003,Product PRD1003,High quality item PRD1003 for everyday use.,groceries-snacks,PRD1003-V2,Option 2,183.28,91
PRD1003,Product PRD1003,High quality item PRD1003 for everyday use.,groceries-snacks,PRD1003-V3,Option 3,414.31,226
PRD1003,Product PRD1003,High quality item PRD1003 for everyday use.,groceries-snacks,PRD1003-V4,Option 4,400.31,34
PRD1004,Product PRD1004,High quality item PRD1004 for everyday use.,home-garden-decor,PRD1004-V1,Option 1,606.96,327
PRD1004,Product PRD1004,High quality item PRD1004 for everyday use.,home-garden-decor,PRD1004-V2,Option 2,869.57,62
PRD1004,Product PRD1004,High quality item PRD1004 for everyday use.,home-garden-decor,PRD1004-V3,Option 3,344.09,44
PRD1004,Product PRD1004,High quality item PRD1004 for everyday use.,home-garden-decor,PRD1004-V4,Option 4,970.23,417
PRD1005,Product PRD1005,High quality item PRD1005 for everyday use.,electronics-accessories,PRD1005-V1,Option 1,856.07,395
PRD1005,Product PRD1005,High quality item PRD1005 for everyday use.,electronics-accessories,PRD1005-V2,Option 2,196.44,463
PRD1005,Product PRD1005,High quality item PRD1005 for everyday use.,electronics-accessories,PRD1005-V3,Option 3,521.59,130
PRD1005,Product PRD1005,High quality item PRD1005 for everyday use.,electronics-accessories,PRD1005-V4,Option 4,600.55,341
PRD1006,Product PRD1006,High quality item PRD1006 for everyday use.,clothing-mens,PRD1006-V1,Option 1,788.66,132
PRD1006,Product PRD1006,High quality item PRD1006 for everyday use.,clothing-mens,PRD1006-V2,Option 2,482.98,418
PRD1006,Product PRD1006,High quality item PRD1006 for everyday use.,clothing-mens,PRD1006-V3,Option 3,255.48,116
PRD1006,Product PRD1006,High quality item PRD1006 for everyday use.,clothing-mens,PRD1006-V4,Option 4,28.04,331
PRD1007,Product PRD1007,High quality item PRD1007 for everyday use.,home-garden-cleaning,PRD1007-V1,Option 1,634.54,174
PRD1007,Product PRD1007,High quality item PRD1007 for everyday use.,home-garden-cleaning,PRD1007-V2,Option 2,581.47,196
PRD1007,Product PRD1007,High quality item PRD1007 for everyday use.,home-garden-cleaning,PRD1007-V3,Option 3,341.79,51
PRD1007,Product PRD1007,High quality item PRD1007 for everyday use.,home-garden-cleaning,PRD1007-V4,Option 4,935.11,267
PRD1008,Product PRD1008,High quality item PRD1008 for everyday use.,electronics-audio,PRD1008-V1,Option 1,684.88,140
PRD1008,Product PRD1008,High quality item PRD1008 for everyday use.,electronics-audio,PRD1008-V2,Option 2,306.84,126
PRD1008,Product PRD1008,High quality item PRD1008 for everyday use.,electronics-audio,PRD1008-V3,Option 3,150.53,450
PRD1008,Product PRD1008,High quality item PRD1008 for everyday use.,electronics-audio,PRD1008-V4,Option 4,730.78,88
PRD1009,Product PRD1009,High quality item PRD1009 for everyday use.,home-garden-decor,PRD1009-V1,Option 1,90.05,322
PRD1009,Product PRD1009,High quality item PRD1009 for everyday use.,home-garden-decor,PRD1009-V2,Option 2,883.08,279
PRD1009,Product PRD1009,High quality item PRD1009 for everyday use.,home-garden-decor,PRD1009-V3,Option 3,929.08,446
PRD1009,Product PRD1009,High quality item PRD1009 for everyday use.,home-garden-decor,PRD1009-V4,Option 4,750.46,409
PRD1010,Product PRD1010,High quality item PRD1010 for everyday use.,clothing-womens,PRD1010-V1,Option 1,69.0,53
PRD1010,Product PRD1010,High quality item PRD1010 for everyday use.,clothing-womens,PRD1010-V2,Option 2,385.05,17
PRD1010,Product PRD1010,High quality item PRD1010 for everyday use.,clothing-womens,PRD1010-V3,Option 3,958.97,144
PRD1010,Product PRD1010,High quality item PRD1010 for everyday use.,clothing-womens,PRD1010-V4,Option 4,939.03,72
PRD1011,Product PRD1011,High quality item PRD1011 for everyday use.,groceries-pantry,PRD1011-V1,Option 1,898.67,231
PRD1011,Product PRD1011,High quality item PRD1011 for everyday use.,groceries-pantry,PRD1011-V2,Option 2,429.13,169
PRD1011,Product PRD1011,High quality item PRD1011 for everyday use.,groceries-pantry,PRD1011-V3,Option 3,740.43,106
PRD1011,Product PRD1011,High quality item PRD1011 for everyday use.,groceries-pantry,PRD1011-V4,Option 4,292.18,425
PRD1012,Product PRD1012,High quality item PRD1012 for everyday use.,clothing-womens,PRD1012-V1,Option 1,130.28,129
PRD1012,Product PRD1012,High quality item PRD1012 for everyday use.,clothing-womens,PRD1012-V2,Option 2,565.4,416
PRD1012,Product PRD1012,High quality item PRD1012 for everyday use.,clothing-womens,PRD1012-V3,Option 3,302.95,200
PRD1012,Product PRD1012,High quality item PRD1012 for everyday use.,clothing-womens,PRD1012-V4,Option 4,408.67,35
PRD1013,Product PRD1013,High quality item PRD1013 for everyday use.,home-garden-cleaning,PRD1013-V1,Option 1,278.76,252
PRD1013,Product PRD1013,High quality item PRD1013 for everyday use.,home-garden-cleaning,PRD1013-V2,Option 2,710.43,436
PRD1013,Product PRD1013,High quality item PRD1013 for everyday use.,home-garden-cleaning,PRD1013-V3,Option 3,98.11,203
PRD1013,Product PRD1013,High quality item PRD1013 for everyday use.,home-garden-cleaning,PRD1013-V4,Option 4,803.32,74
PRD1014,Product PRD1014,High quality item PRD1014 for everyday use.,groceries-snacks,PRD1014-V1,Option 1,553.04,347
PRD1014,Product PRD1014,High quality item PRD1014 for everyday use.,groceries-snacks,PRD1014-V2,Option 2,646.49,404
PRD1014,Product PRD1014,High quality item PRD1014 for everyday use.,groceries-snacks,PRD1014-V3,Option 3,191.44,342
PRD1014,Product PRD1014,High quality item PRD1014 for everyday use.,groceries-snacks,PRD1014-V4,Option 4,770.21,65
PRD1015,Product PRD1015,High quality item PRD1015 for everyday use.,home-garden-cleaning,PRD1015-V1,Option 1,866.52,63
PRD1015,Product PRD1015,High quality item PRD1015 for everyday use.,home-garden-cleaning,PRD1015-V2,Option 2,518.02,385
PRD1015,Product PRD1015,High quality item PRD1015 for everyday use.,home-garden-cleaning,PRD1015-V3,Option 3,530.97,464
PRD1015,Product PRD1015,High quality item PRD1015 for everyday use.,home-garden-cleaning,PRD1015-V4,Option 4,281.18,6
PRD1016,Product PRD1016,High quality item PRD1016 for everyday use.,electronics-audio,PRD1016-V1,Option 1,895.82,400
PRD1016,Product PRD1016,High quality item PRD1016 for everyday use.,electronics-audio,PRD1016-V2,Option 2,25.68,322
PRD1016,Product PRD1016,High quality item PRD1016 for everyday use.,electronics-audio,PRD1016-V3,Option 3,436.59,453
PRD1016,Product PRD1016,High quality item PRD1016 for everyday use.,electronics-audio,PRD1016-V4,Option 4,231.8,480
PRD1017,Product PRD1017,High quality item PRD1017 for everyday use.,groceries-beverages,PRD1017-V1,Option 1,418.76,494
PRD1017,Product PRD1017,High quality item PRD1017 for everyday use.,groceries-beverages,PRD1017-V2,Option 2,803.61,254
PRD1017,Product PRD1017,High quality item PRD1017 for everyday use.,groceries-beverages,PRD1017-V3,Option 3,516.42,47
PRD1017,Product PRD1017,High quality item PRD1017 for everyday use.,groceries-beverages,PRD1017-V4,Option 4,647.9,198
PRD1018,Product PRD1018,High quality item PRD1018 for everyday use.,home-garden-cleaning,PRD1018-V1,Option 1,797.91,309
PRD1018,Product PRD1018,High quality item PRD1018 for everyday use.,home-garden-cleaning,PRD1018-V2,Option 2,979.95,235
PRD1018,Product PRD1018,High quality item PRD1018 for everyday use.,home-garden-cleaning,PRD1018-V3,Option 3,956.35,257
PRD1018,Product PRD1018,High quality item PRD1018 for everyday use.,home-garden-cleaning,PRD1018-V4,Option 4,253.09,49
PRD1019,Product PRD1019,High quality item PRD1019 for everyday use.,clothing-womens,PRD1019-V1,Option 1,344.53,45
PRD1019,Product PRD1019,High quality item PRD1019 for everyday use.,clothing-womens,PRD1019-V2,Option 2,868.82,79
PRD1019,Product PRD1019,High quality item PRD1019 for everyday use.,clothing-womens,PRD1019-V3,Option 3,693.73,289
PRD1019,Product PRD1019,High quality item PRD1019 for everyday use.,clothing-womens,PRD1019-V4,Option 4,301.73,146
PRD1020,Product PRD1020,High quality item PRD1020 for everyday use.,clothing-womens,PRD1020-V1,Option 1,276.56,476
PRD1020,Product PRD1020,High quality item PRD1020 for everyday use.,clothing-womens,PRD1020-V2,Option 2,307.24,99
PRD1020,Product PRD1020,High quality item PRD1020 for everyday use.,clothing-womens,PRD1020-V3,Option 3,613.81,328
PRD1020,Product PRD1020,High quality item PRD1020 for everyday use.,clothing-womens,PRD1020-V4,Option 4,410.34,137
PRD1021,Product PRD1021,High quality item PRD1021 for everyday use.,groceries-snacks,PRD1021-V1,Option 1,636.32,49
PRD1021,Product PRD1021,High quality item PRD1021 for everyday use.,groceries-snacks,PRD1021-V2,Option 2,245.74,221
PRD1021,Product PRD1021,High quality item PRD1021 for everyday use.,groceries-snacks,PRD1021-V3,Option 3,227.23,106
PRD1021,Product PRD1021,High quality item PRD1021 for everyday use.,groceries-snacks,PRD1021-V4,Option 4,453.89,141
PRD1022,Product PRD1022,High quality item PRD1022 for everyday use.,groceries-pantry,PRD1022-V1,Option 1,779.42,369
PRD1022,Product PRD1022,High quality item PRD1022 for everyday use.,groceries-pantry,PRD1022-V2,Option 2,459.15,192
PRD1022,Product PRD1022,High quality item PRD1022 for everyday use.,groceries-pantry,PRD1022-V3,Option 3,935.54,166
PRD1022,Product PRD1022,High quality item PRD1022 for everyday use.,groceries-pantry,PRD1022-V4,Option 4,829.19,152
PRD1023,Product PRD1023,High quality item PRD1023 for everyday use.,clothing-mens,PRD1023-V1,Option 1,263.92,366
PRD1023,Product PRD1023,High quality item PRD1023 for everyday use.,clothing-mens,PRD1023-V2,Option 2,264.1,12
PRD1023,Product PRD1023,High quality item PRD1023 for everyday use.,clothing-mens,PRD1023-V3,Option 3,939.46,60
PRD1023,Product PRD1023,High quality item PRD1023 for everyday use.,clothing-mens,PRD1023-V4,Option 4,698.38,124
PRD1024,Product PRD1024,High quality item PRD1024 for everyday use.,electronics-audio,PRD1024-V1,Option 1,251.5,264
PRD1024,Product PRD1024,High quality item PRD1024 for everyday use.,electronics-audio,PRD1024-V2,Option 2,179.95,355
PRD1024,Product PRD1024,High quality item PRD1024 for everyday use.,electronics-audio,PRD1024-V3,Option 3,341.5,112
PRD1024,Product PRD1024,High quality item PRD1024 for everyday use.,electronics-audio,PRD1024-V4,Option 4,926.06,362
PRD1025,Product PRD1025,High quality item PRD1025 for everyday use.,groceries-snacks,PRD1025-V1,Option 1,335.28,239
